Phenotype,Environment,Model,Beta,P_Value
lightness,elevation,Spatial GAMM,-0.0526390751825093,1.1818848327994149e-37
lightness,temperature,Spatial GAMM,0.1227418774497615,2.375453258867095e-50
lightness,bio4_temp_seasonality,Spatial GAMM,0.2021737532799711,4.438506898977055e-15
lightness,bio5_max_temp,Spatial GAMM,0.0726959568331879,2.7777215480931333e-47
lightness,bio6_min_temp,Spatial GAMM,0.188049816789393,3.7966758941347947e-41
lightness,precipitation,Spatial GAMM,-0.0385972282265611,1.4869638074816983e-06
lightness,bio15_precip_seasonality,Spatial GAMM,0.0312424550606985,0.0014766322678992
lightness,ndvi_mean,Spatial GAMM,-0.0081561363235,0.0484417655718457
lightness,human_footprint,Spatial GAMM,0.0073331736370114,0.0039800471789033
lightness,dda,Spatial GAMM,0.1007092769187091,8.918416663727088e-37
pattern_complexity,elevation,Spatial GAMM,0.0404948614817403,5.6695459098788005e-31
pattern_complexity,temperature,Spatial GAMM,-0.0649844152902958,3.217914950478244e-17
pattern_complexity,bio4_temp_seasonality,Spatial GAMM,-0.029036289132774,0.0048934701603749
pattern_complexity,bio5_max_temp,Spatial GAMM,-0.0513057062417912,2.9916581094294005e-32
pattern_complexity,bio6_min_temp,Spatial GAMM,-0.0722281883236052,3.5565972923505934e-08
pattern_complexity,precipitation,Spatial GAMM,0.0991896665965834,7.083385223592828e-40
pattern_complexity,bio15_precip_seasonality,Spatial GAMM,-0.1517892900861538,3.2906939630923856e-61
pattern_complexity,ndvi_mean,Spatial GAMM,0.0216082939763371,1.0570553836997402e-09
pattern_complexity,human_footprint,Spatial GAMM,-0.0388171306634978,1.1632996722527849e-59
pattern_complexity,dda,Spatial GAMM,-0.0219183987454715,0.003231385469534
phenotypic_disparity,elevation,Spatial GAMM,-0.0286347043368716,1.3668973037564897e-12
phenotypic_disparity,temperature,Spatial GAMM,0.060927396918455,5.31502183817772e-14
phenotypic_disparity,bio4_temp_seasonality,Spatial GAMM,-0.0060028466264795,0.8130112596693064
phenotypic_disparity,bio5_max_temp,Spatial GAMM,0.0314228962980837,2.2753008939378368e-10
phenotypic_disparity,bio6_min_temp,Spatial GAMM,0.1372391059736957,2.2732647883699925e-23
phenotypic_disparity,precipitation,Spatial GAMM,-0.0255384236493041,0.0012144884271866
phenotypic_disparity,bio15_precip_seasonality,Spatial GAMM,-0.0668231230749179,4.881155849745572e-12
phenotypic_disparity,ndvi_mean,Spatial GAMM,0.0016151327128721,0.6913321035053537
phenotypic_disparity,human_footprint,Spatial GAMM,0.008019847418868,0.0013753854938306
phenotypic_disparity,dda,Spatial GAMM,0.0795084031112614,2.983022896563067e-24
dino_pc1,elevation,Spatial GAMM,0.079418005437741,2.072280804694277e-145
dino_pc1,temperature,Spatial GAMM,-0.1647703833782961,7.976926970777701e-170
dino_pc1,bio4_temp_seasonality,Spatial GAMM,-0.1811311486235408,1.0750951606136404e-54
dino_pc1,bio5_max_temp,Spatial GAMM,-0.0968545104974598,1.2472733618043242e-153
dino_pc1,bio6_min_temp,Spatial GAMM,-0.1817139792962895,1.1620490570760749e-91
dino_pc1,precipitation,Spatial GAMM,0.076463105484062,9.718435729729636e-47
dino_pc1,bio15_precip_seasonality,Spatial GAMM,0.0656621011441146,2.2879489536402543e-27
dino_pc1,ndvi_mean,Spatial GAMM,0.0173772315778032,8.42586317082765e-09
dino_pc1,human_footprint,Spatial GAMM,-0.0324222626330276,7.225364309551838e-65
dino_pc1,dda,Spatial GAMM,-0.1197545869731816,1.621935314478503e-95
functional_beta_diversity,elevation,Spatial OLS,0.1069075194727979,3.252006591678169e-11
functional_beta_diversity,temperature,Spatial OLS,-0.2489660755307459,1.3873253071592527e-16
functional_beta_diversity,bio4_temp_seasonality,Spatial OLS,0.1048021157521309,1.3848034798883629e-05
functional_beta_diversity,bio5_max_temp,Spatial OLS,-0.0636233078757287,0.0020730253369715
functional_beta_diversity,bio6_min_temp,Spatial OLS,-0.2051540217081413,1.947190473325992e-14
functional_beta_diversity,precipitation,Spatial OLS,-0.0677235874135495,1.6817475132285e-05
functional_beta_diversity,bio15_precip_seasonality,Spatial OLS,0.020488913287296,0.254335473727073
functional_beta_diversity,ndvi_mean,Spatial OLS,-0.0344204915021843,0.0285424001929188
functional_beta_diversity,human_footprint,Spatial OLS,-0.0605486725873386,0.0001052589147971
functional_beta_diversity,dda,Spatial OLS,-0.0811501727603149,0.007757488796136
dino_pc1_mutation,elevation,Spatial GAMM,0.09004598639108546,1.1574369775638432e-160
dino_pc1_mutation,temperature,Spatial GAMM,-0.18452545350904886,7.921561038096835e-173
dino_pc1_mutation,bio4_temp_seasonality,Spatial GAMM,-0.40376036846899693,1.4241375492804268e-87
dino_pc1_mutation,bio5_max_temp,Spatial GAMM,-0.12846993405166537,2.571361641530306e-201
dino_pc1_mutation,bio6_min_temp,Spatial GAMM,-0.2379403663756892,5.07617109382733e-103
dino_pc1_mutation,precipitation,Spatial GAMM,0.11354559527465977,1.4983971483034404e-66
dino_pc1_mutation,bio15_precip_seasonality,Spatial GAMM,0.02664772114248372,0.0006174912218315717
dino_pc1_mutation,ndvi_mean,Spatial GAMM,0.03865134985135537,2.207753545001373e-31
dino_pc1_mutation,human_footprint,Spatial GAMM,-0.021025949159748987,1.3032455655317593e-25
dino_pc1_mutation,dda,Spatial GAMM,-0.18326766504225872,7.551882723122709e-188
